ndb	name	kcal	protein	carbs	fats	fiber	sugar	sodium	sat_fat	p1	p1g	p2	p2g
09522	Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium	45	0.27	10.91	0.12	0.1	9.8	6	0.002	6.75 fl oz	200	8 fl oz	240
09523	Lemon juice from concentrate, bottled, CONCORD	24	0.4	5.37	0.07		1.42	29		1 tbsp	15	1 tsp	5.2
09524	Lemon juice from concentrate, bottled, REAL LEMON	17	0.47	5.66	0.07	0.7	1.59	26	0.027	1 tbsp	15	1 tsp	5
09525	Cranberry sauce, whole, canned, OCEAN SPRAY	158	0.75	40.4	0.05	1.2	31.3	5	0.007	.25 cup	70		
09526	Cranberry sauce, jellied, canned, OCEAN SPRAY	160	1.05	40.61	0.04	1	32.2	5	0.007	.25 cup	70		
09528	Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C	44	0.5	10.53	0.1	0.2	10.3	8	0.008	8 fl oz	248		
09530	Fruit juice smoothie, ODWALLA, strawberry banana	48	0.5	11.05	0.32	0.6	9.9	2	0.12	1 cup	233		
09531	Fruit juice smoothie, NAKED JUICE, strawberry banana	50	0.48	11.66	0.27	0.6	10.05	2	0.092	1 cup	228		
10000	Pork, fresh, composite of separable fat, with added solution, cooked	585	10.06	0.32	60.42	0	0	125	21.382	3 oz	85		
10001	Pork, fresh, carcass, separable lean and fat, raw	376	13.91	0	35.07	0	0	42	12.44	1 oz	28.35	1 lb	453.6
10002	Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw	134	21.2	0	4.86	0	0	59	1.625	1 oz	28.35	1 lb	453.6
10003	Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw	211	18.22	0	14.79	0	0	57	4.918	1 oz	28.35	1 lb	453.6
10004	Pork, fresh, backfat, raw	812	2.92	0	88.69	0	0	11	32.21	1 oz	28.35	1 lb	453.6
10005	Pork, fresh, belly, raw	518	9.34	0	53.01	0	0	32	19.33	1 oz	28.35	1 lb	453.6
10006	Pork, fresh, separable fat, raw	632	9.25	0	65.7	0	0	47	21.979	1 oz	28.35	4 oz	113
10007	Pork, fresh, separable fat, cooked	626	7.06	0	66.1	0	0	56	23.856	1 oz	28.35	4 oz	113
10008	Pork, fresh, leg (ham), whole, separable lean and fat, raw	245	17.43	0	18.87	0		47	6.54	1 oz	28.35	1 lb	453.6
10009	Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted	273	26.83	0	17.61	0	0	60	6.47	1 cup, diced	135	3 oz	85
10010	Pork, fresh, leg (ham), whole, separable lean only, raw	136	20.48	0	5.41	0	0	55	1.87	1 oz	28.35	1 lb	453.6
10011	Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted	211	29.41	0	9.44	0	0	64	3.3	1 cup, diced	135	3 oz	85
06468	Soup, vegetarian vegetable, canned, prepared with equal volume water	28	0.86	4.89	0.79	0.3	1.57	338	0.12	1 cup	241	1 can,  (10.5 oz), prepared	586
